GID_0,lon,lat,oppc
BRA,-49.3553,-6.10389,263
BRA,-49.7125,-7.55335,259
BRA,-47.0505,-1.92986,263
BRA,-49.0974,-3.84338,269
BRA,-51.6338,-1.41412,269
BRA,-47.626,-1.12539,263
BRA,-48.9575,-1.97533,269
BRA,-47.9114,-1.4349,266
BRA,-47.5059,-2.55992,267
BRA,-47.446,-1.76984,264
BRA,-55.9926,-4.2667,273
BRA,-49.3358,-5.13272,268
BRA,-57.7544,-6.21469,267
BRA,-49.1153,-4.44617,270
BRA,-49.3903,-1.8985,270
BRA,-47.6014,-0.803391,265
BRA,-49.1327,-5.38075,269
BRA,-47.7034,-0.714702,267
BRA,-52.8875,-3.44637,256
BRA,-50.7149,-1.8032,267
BRA,-49.5042,-2.5831,271
BRA,-48.7668,-1.88993,269
BRA,-54.6425,-2.6822,254
BRA,-54.0724,-1.99768,270
BRA,-49.2224,-1.53936,270
BRA,-46.9731,-2.26693,263
BRA,-49.0822,-4.91622,269
BRA,-47.3921,-1.20874,262
BRA,-55.3786,-7.14347,257
BRA,-49.9499,-4.24749,270
BRA,-55.5208,-1.90107,269
BRA,-49.8628,-2.00358,269
BRA,-47.1126,-1.54168,261
BRA,-51.0858,-6.7529,250
BRA,-50.6399,-3.83542,265
BRA,-48.3181,-5.74027,265
BRA,-47.3527,-3.00212,264
BRA,-49.9037,-6.06781,257
BRA,-46.9268,-1.59772,261
BRA,-48.8716,-6.43778,261
BRA,-54.2124,-3.86813,256
BRA,-48.8661,-1.39587,270
BRA,-50.8194,-1.93639,267
BRA,-53.4779,-1.798,271
BRA,-47.1253,-0.945439,262
BRA,-50.0317,-8.02529,255
BRA,-50.0379,-7.31236,256
BRA,-48.067,-4.77793,262
BRA,-54.9092,-4.10028,260
BRA,-48.5139,-0.758444,274
BRA,-48.238,-1.19219,268
BRA,-48.1606,-1.29686,267
BRA,-49.7215,-8.85784,265
BRA,-47.5712,-1.35392,263
BRA,-50.35,-9.3281,265
BRA,-54.6996,-2.43849,260
BRA,-47.3855,-0.93097,263
BRA,-48.1314,-1.1522,267
BRA,-48.0246,-0.747293,270
BRA,-48.7366,-5.53732,266
BRA,-47.7665,-1.68768,265
BRA,-51.9904,-6.64254,250
BRA,-47.7917,-1.16963,264
BRA,-48.5592,-6.39471,262
BRA,-47.918,-0.857885,267
BRA,-47.181,-0.780222,263
BRA,-48.7926,-5.36334,268
BRA,-47.4784,-1.61307,264
BRA,-49.6834,-6.94018,257
BRA,-51.5764,-4.31242,248
BRA,-48.9489,-2.94584,270
BRA,-47.9004,-1.02963,266
BRA,-56.4877,-2.10443,275
BRA,-48.1415,-2.41302,267
BRA,-46.9031,-1.07653,261
BRA,-55.9429,-4.57347,269
BRA,-49.6773,-3.7657,269
BRA,-47.4892,-3.75007,266
BRA,-53.7396,-3.71519,254
BRA,-48.1386,-0.861194,269
BRA,-46.1399,-1.19124,265
BRA,-52.0088,-2.87922,266
BRA,-49.9437,-7.0983,256
BRA,-52.0036,0.901357,261
BRA,-50.7957,2.05267,265
BRA,-51.9503,0.777424,262
BRA,-50.9512,2.50475,264
BRA,-50.8005,0.970761,268
BRA,-51.1795,0.857256,265
BRA,-50.6996,0.602185,269
BRA,-52.453,-0.804911,266
BRA,-51.0694,0.034934,270
BRA,-51.2891,-0.11336,270
BRA,-51.8331,3.84074,258
BRA,-51.4155,0.71243,264
BRA,-50.7892,1.74543,266
BRA,-50.9087,1.50652,266
BRA,-52.424,-0.938,268
BRA,-49.1518,-9.62101,266
BRA,-47.4702,-6.55409,255
BRA,-48.9361,-11.3056,263
BRA,-47.1792,-11.5706,257
BRA,-49.1249,-12.4785,264
BRA,-48.0735,-6.36437,257
BRA,-47.8611,-6.39179,251
BRA,-47.9638,-9.94139,264
BRA,-48.5291,-7.16005,259
BRA,-49.5569,-8.80755,264
BRA,-49.8231,-12.9289,265
BRA,-48.2044,-7.19238,260
BRA,-48.6395,-6.58225,261
BRA,-48.1232,-5.64659,265
BRA,-49.0637,-7.65463,260
BRA,-46.9359,-12.9287,246
BRA,-47.8863,-5.46863,266
BRA,-46.4076,-12.7105,258
BRA,-47.7701,-5.61275,262
BRA,-47.7613,-7.20923,264
BRA,-48.5836,-7.75612,257
BRA,-47.6776,-7.69593,266
BRA,-48.7252,-9.83404,261
BRA,-48.8893,-7.87481,262
BRA,-48.165,-8.96306,265
BRA,-48.4822,-8.38918,262
BRA,-48.5683,-11.0058,263
BRA,-48.2271,-5.31448,267
BRA,-47.9234,-6.1156,256
BRA,-46.8645,-7.98956,260
BRA,-49.1609,-11.8881,265
BRA,-48.3978,-7.03262,257
BRA,-48.0314,-5.31415,267
BRA,-49.9521,-9.27612,266
BRA,-47.3304,-8.96103,261
BRA,-49.1403,-10.1419,268
BRA,-47.7486,-11.6175,258
BRA,-48.4757,-8.05764,263
BRA,-46.5388,-12.7917,262
BRA,-47.2951,-12.2209,258
BRA,-49.1942,-10.5985,269
BRA,-48.9152,-11.0994,265
BRA,-47.7597,-6.71591,251
BRA,-46.8198,-11.624,249
BRA,-49.2169,-9.80018,267
BRA,-49.0638,-9.25534,265
BRA,-49.2716,-11.3416,266
BRA,-48.5378,-5.36593,268
BRA,-48.9076,-10.7603,263
BRA,-49.1748,-12.1312,264
BRA,-47.4954,-7.33501,267
BRA,-49.5316,-11.7976,271
BRA,-48.5206,-9.05611,260
BRA,-48.9313,-8.77413,262
BRA,-47.3252,-7.71478,265
BRA,-48.5114,-8.83543,257
