GID_0,lon,lat,oppc
BRA,-47.4954,-7.33501,267
BRA,-48.5114,-8.83543,257
BRA,-48.393,-9.56556,267
BRA,-47.7223,-11.7034,259
BRA,-48.4252,-7.63171,258
BRA,-47.9242,-7.84786,266
BRA,-48.8823,-10.175,265
BRA,-48.7638,-8.72463,256
BRA,-48.408,-10.7027,261
BRA,-47.2421,-8.7227,259
BRA,-48.3558,-10.24,269
BRA,-47.5004,-4.94714,256
BRA,-45.4706,-4.16598,272
BRA,-45.8421,-3.66689,272
BRA,-44.6126,-3.26269,273
BRA,-46.0032,-4.88347,260
BRA,-44.7832,-4.22447,274
BRA,-44.3164,-2.96452,271
BRA,-46.0372,-7.53214,262
BRA,-45.2485,-5.49682,263
BRA,-44.7842,-2.44162,271
BRA,-46.3002,-1.77614,266
BRA,-45.606,-3.54129,273
BRA,-44.383,-3.63757,273
BRA,-43.3617,-4.86505,273
BRA,-46.0345,-2.44891,267
BRA,-43.3538,-3.73875,271
BRA,-43.8924,-4.45562,273
BRA,-44.2543,-6.03199,267
BRA,-44.8644,-1.81475,270
BRA,-44.4409,-5.03518,268
BRA,-44.6926,-4.87938,270
BRA,-44.1565,-5.72792,268
BRA,-44.3358,-5.40547,267
BRA,-47.4777,-5.51847,262
BRA,-44.3508,-3.40202,272
BRA,-45.1319,-4.56974,270
BRA,-44.4646,-4.51837,272
BRA,-44.5814,-3.56313,272
BRA,-44.7787,-2.07094,269
BRA,-45.2496,-3.48125,273
BRA,-43.9134,-3.46788,272
BRA,-44.6006,-4.56482,273
BRA,-45.1768,-3.27674,273
BRA,-44.3369,-4.37459,272
BRA,-44.2216,-3.72041,273
BRA,-44.9432,-4.74626,270
BRA,-44.495,-5.2898,269
BRA,-44.0234,-3.40787,271
BRA,-45.69,-4.06873,272
BRA,-42.5688,-3.49308,270
BRA,-44.3822,-5.58095,265
BRA,-44.7953,-2.95398,273
BRA,-43.7036,-6.4934,257
BRA,-44.2825,-2.53874,270
BRA,-44.4707,-4.03736,273
BRA,-45.0696,-5.11053,264
BRA,-42.8329,-5.09769,274
BRA,-44.6444,-5.25476,269
BRA,-45.3798,-1.65893,269
BRA,-43.917,-3.53639,272
BRA,-44.9912,-3.20451,274
BRA,-44.8643,-3.45125,274
BRA,-45.2505,-4.28184,272
BRA,-45.6553,-3.27014,272
BRA,-42.4612,-5.03888,266
BRA,-42.2922,-4.24468,270
BRA,-42.0787,-4.0223,268
BRA,-42.1641,-4.8217,268
BRA,-41.944,-4.457,267
BRA,-44.4062,-9.01175,263
BRA,-42.5594,-5.84125,263
BRA,-42.443600000000004,-5.86036,265
BRA,-41.7716,-4.27157,264
BRA,-42.6998,-3.88815,273
BRA,-45.9116,-9.11228,260
BRA,-38.7055,-4.22083,249
BRA,-40.1183,-2.88769,276
BRA,-39.448,-6.08911,262
BRA,-39.7356,-6.99837,242
BRA,-38.3896,-3.89929,261
BRA,-37.7679,-4.55826,272
BRA,-40.831,-4.74567,252
BRA,-39.0471,-4.41229,241
BRA,-38.6429,-4.28921,259
BRA,-38.8812,-4.32598,225
BRA,-38.1271,-4.17741,266
BRA,-40.1671,-3.04996,275
BRA,-39.3155,-4.35162,256
BRA,-39.1912,-4.22514,259
BRA,-38.2412,-4.12967,263
BRA,-38.6619,-3.72797,262
BRA,-39.0609,-6.60034,268
BRA,-39.1344,-4.83906,262
BRA,-40.6536,-5.16768,259
BRA,-39.4103,-7.2153,237
BRA,-38.3461,-6.02751,246
BRA,-39.5651,-6.92146,254
BRA,-40.8372,-3.12788,276
BRA,-40.3852,-3.91787,273
BRA,-38.6404,-4.04057,258
BRA,-40.7476,-4.15814,245
BRA,-40.4056,-4.40958,263
BRA,-38.4707,-4.1209,260
BRA,-38.8554,-6.39627,273
BRA,-39.2892,-6.36281,268
BRA,-40.3085,-5.38789,253
BRA,-38.2919,-5.8124,271
BRA,-37.833,-4.67146,274
BRA,-38.5298,-3.96577,255
BRA,-39.5855,-3.68314,250
BRA,-39.5836,-3.49933,266
BRA,-38.7639,-5.6051,274
BRA,-38.6227,-5.90213,271
BRA,-39.5187,-6.51523,265
BRA,-38.9706,-6.7448,267
BRA,-38.0847,-5.14392,275
BRA,-38.6829,-3.89143,252
BRA,-40.3423,-3.52364,247
BRA,-39.9663,-3.56867,270
BRA,-39.63,-5.73844,265
BRA,-37.9655,-4.73672,272
BRA,-39.03,-3.41436,266
BRA,-39.2692,-3.7927399999999998,264
BRA,-39.417,-5.80025,267
BRA,-39.2889,-5.19067,273
BRA,-37.9802,-5.07148,272
BRA,-40.5759,-4.14191,266
BRA,-37.9721,-4.92673,276
BRA,-40.2118,-3.46144,276
BRA,-40.1523,-4.32608,261
BRA,-38.9726,-3.60515,263
BRA,-40.3482,-3.68913,271
BRA,-38.1282,-5.24353,275
BRA,-40.3196,-4.83136,245
BRA,-39.753,-6.67838,255
BRA,-40.2968,-5.98585,251
BRA,-40.9923,-3.72965,239
BRA,-40.9204,-3.85448,222
