GID_0,lon,lat,oppc
BRA,-53.1586,-27.0702,201
BRA,-50.1419,-26.3777,169
BRA,-51.9018,-27.3754,187
BRA,-49.9301,-27.2567,187
BRA,-49.6246,-27.0474,189
BRA,-49.3889,-27.2768,175
BRA,-52.724,-26.7264,191
BRA,-49.0191,-27.6727,155
BRA,-50.136,-26.9452,173
BRA,-49.7989,-27.1952,187
BRA,-49.2718,-26.7398,198
BRA,-49.1068,-28.1244,185
BRA,-49.5177,-26.2591,168
BRA,-53.3265,-27.0653,200
BRA,-52.6799,-26.6388,183
BRA,-48.7813,-27.6852,178
BRA,-48.9326,-27.9009,165
BRA,-48.6366,-27.6136,200
BRA,-53.4955,-26.4561,180
BRA,-50.5733,-27.6602,156
BRA,-52.299,-27.1564,178
BRA,-49.9942,-27.121,184
BRA,-49.8729,-27.9557,142
BRA,-49.3593,-27.3886,171
BRA,-51.1543,-27.0086,162
BRA,-49.8328,-26.8782,184
BRA,-52.5374,-26.9596,185
BRA,-51.3123,-29.3919,186
BRA,-51.4949,-29.3725,184
BRA,-51.5165,-29.1662,183
BRA,-53.3102,-27.6671,194
BRA,-51.6687,-29.3544,188
BRA,-53.8716,-27.5399,195
BRA,-52.4284,-29.3046,177
BRA,-51.6597,-27.767,171
BRA,-51.8043,-30.8489,189
BRA,-52.7895,-29.6684,196
BRA,-50.8119,-29.356,172
BRA,-51.5028,-29.2969,174
BRA,-51.1792,-29.1629,171
BRA,-52.015,-27.9493,183
BRA,-51.8482,-28.3849,173
BRA,-51.8396,-28.983,182
BRA,-52.2697,-27.6364,181
BRA,-51.3419,-29.2227,172
BRA,-52.1693,-28.7768,173
BRA,-52.1986,-28.4498,181
BRA,-51.7072,-28.7291,177
BRA,-52.4091,-28.2576,181
BRA,-52.3371,-31.7649,180
BRA,-51.1367,-29.4464,178
BRA,-52.4343,-29.722,194
BRA,-53.3717,-33.525,169
BRA,-51.886,-28.5312,177
BRA,-52.5304,-29.5357,190
BRA,-51.8653,-29.7943,197
BRA,-50.7739,-29.5137,187
BRA,-51.5516,-28.9312,175
BRA,-51.8625,-29.0655,185
BRA,-52.1486,-28.5359,180
BRA,-57.1878,-15.0702,257
BRA,-57.9833,-12.1474,249
BRA,-57.8907,-13.6587,238
BRA,-55.461,-10.8135,253
BRA,-59.5444,-14.5381,242
BRA,-56.0974,-15.601,258
BRA,-57.0583,-14.7324,258
BRA,-56.4366,-14.4037,253
BRA,-54.9227,-12.385,248
BRA,-55.2766,-11.0614,252
BRA,-55.9042,-13.0588,249
BRA,-54.4377,-11.0463,252
BRA,-54.9467,-10.1821,255
BRA,-56.7945,-14.454,255
BRA,-55.1872,-10.8651,248
BRA,-56.0743,-13.8374,246
BRA,-57.2886,-14.7889,257
BRA,-55.2029,-9.95616,253
BRA,-57.0091,-14.4945,253
BRA,-56.7218,-13.4398,254
BRA,-55.2706,-13.8146,242
BRA,-58.7645,-12.9892,235
BRA,-55.7211,-12.5425,251
BRA,-57.4933,-14.6229,250
BRA,-55.231,-10.517,253
BRA,-50.3749,-17.396,244
BRA,-48.2816,-15.7617,215
BRA,-48.5076,-16.0834,222
BRA,-48.953,-16.3281,220
BRA,-48.9513,-16.9693,229
BRA,-48.9616,-16.6173,223
BRA,-49.0404,-18.1378,231
BRA,-50.9432,-18.7618,238
BRA,-47.7768,-17.6363,227
BRA,-46.7681,-13.035,251
BRA,-47.944,-18.1656,227
