GID_0,lon,lat,oppc
BRA,-47.4864,-5.77267,7768
BRA,-48.1072,-8.37982,11471
BRA,-48.6895,-8.57172,11697
BRA,-48.589,-12.6509,16277
BRA,-49.0643,-8.11951,11002
BRA,-49.6199,-10.7906,14440
BRA,-47.538,-10.368,14073
BRA,-48.3565,-9.74996,13269
BRA,-46.6738,-9.59002,13063
BRA,-47.8582,-6.17794,8449
BRA,-49.6553,-9.79377,13262
BRA,-47.5125,-5.95169,7995
BRA,-48.393,-9.56556,13053
BRA,-48.5922,-9.52907,13052
BRA,-48.1114,-10.7611,14449
BRA,-48.9941,-10.0075,13672
BRA,-47.5464,-6.61658,8910
BRA,-47.7223,-11.7034,15479
BRA,-47.6643,-6.37496,8680
BRA,-48.4252,-7.63171,10306
BRA,-47.6785,-9.97063,13480
BRA,-47.9242,-7.84786,10776
BRA,-48.8823,-10.175,13870
BRA,-47.8734,-12.6167,16281
BRA,-49.367,-7.53919,10300
BRA,-48.1729,-8.97034,12156
BRA,-48.5395,-12.0254,15802
BRA,-48.9327,-8.5932,11696
BRA,-48.7638,-8.72463,11926
BRA,-47.5726,-11.1311,14810
BRA,-48.2958,-6.77302,9138
BRA,-49.1876,-10.442,14063
BRA,-46.4825,-12.0853,15815
BRA,-47.5276,-10.7481,14452
BRA,-48.408,-10.7027,14447
BRA,-47.8111,-5.39281,7313
BRA,-48.5062,-8.5406,11698
BRA,-48.8957,-10.424,14065
BRA,-47.2421,-8.7227,11935
BRA,-47.888,-9.35002,12836
BRA,-48.7165,-7.15803,9601
BRA,-47.7887,-8.8046,11932
BRA,-48.9161,-10.8617,14630
BRA,-48.1216,-11.4474,15145
BRA,-47.8033,-10.2746,13877
BRA,-47.6684,-6.44438,8679
BRA,-47.5743,-5.56305,7540
BRA,-48.2352,-12.7458,16429
BRA,-48.2353,-11.9743,15641
BRA,-48.1694,-11.1471,14806
BRA,-48.9685,-11.993,15637
BRA,-46.437,-12.4026,16136
BRA,-49.0896,-12.7949,16424
BRA,-48.3558,-10.24,13873
BRA,-47.4224,-6.32447,8452
BRA,-47.9601,-6.85274,9372
BRA,-47.5004,-4.94714,6654
BRA,-43.3275,-4.13631,5663
BRA,-42.1189,-2.84048,4377
BRA,-44.4062,-2.39574,3881
BRA,-43.4689,-4.62621,6261
BRA,-45.4706,-4.16598,5650
BRA,-44.446,-4.213,5850
BRA,-45.8421,-3.66689,5270
BRA,-45.9303,-9.10273,12397
BRA,-46.7473,-5.56913,7545
BRA,-44.6126,-3.26269,4723
BRA,-43.1014,-3.67577,5287
BRA,-45.6589,-2.94644,4356
BRA,-41.905,-2.89091,4378
BRA,-46.0032,-4.88347,6663
BRA,-44.062,-2.83939,4365
BRA,-44.7832,-4.22447,5848
BRA,-44.3164,-2.96452,4364
BRA,-45.1328,-1.6965,3276
BRA,-46.0372,-7.53214,10320
BRA,-43.0261,-6.74463,9169
BRA,-45.2485,-5.49682,7328
BRA,-42.8232,-2.75863,4207
BRA,-45.3075,-3.72618,5274
BRA,-44.5577,-7.21037,9859
BRA,-44.7842,-2.44162,3879
BRA,-44.7608,-4.62666,6253
BRA,-45.606,-3.54129,5086
BRA,-46.8641,-4.47638,6035
BRA,-45.0326,-4.37311,6046
BRA,-42.7527,-3.67796,5289
BRA,-45.581,-4.334,6043
BRA,-42.9179,-3.94169,5476
BRA,-43.8353,-5.83239,7789
BRA,-46.4409,-4.32375,5838
BRA,-47.0131,-5.59823,7543
BRA,-44.6741,-2.87326,4361
BRA,-45.0145,-3.32742,4720
BRA,-45.7161,-1.43265,2979
BRA,-44.383,-3.63757,5093
BRA,-44.328,-4.7236,6463
BRA,-43.3617,-4.86505,6679
BRA,-44.5281,-2.00027,3578
BRA,-46.0345,-2.44891,3871
BRA,-46.1228,-2.12696,3569
BRA,-43.3538,-3.73875,5285
BRA,-47.7781,-5.17465,7087
BRA,-43.8924,-4.45562,6053
BRA,-43.0108,-4.25245,5858
BRA,-44.2543,-6.03199,8243
BRA,-44.1244,-4.13442,5658
BRA,-44.8644,-1.81475,3277
BRA,-47.4217,-5.54637,7541
BRA,-44.4409,-5.03518,6886
BRA,-42.9477,-4.15002,5665
BRA,-44.6926,-4.87938,6671
BRA,-46.6786,-6.96508,9379
BRA,-44.8979,-6.16207,8239
BRA,-46.1916,-6.44017,8688
BRA,-46.1749,-6.95983,9382
BRA,-44.1565,-5.72792,7788
BRA,-44.3013,-5.1475,6887
BRA,-44.2469,-5.31897,7108
BRA,-44.0774,-5.47835,7335
BRA,-45.6619,-3.43245,4901
BRA,-45.8777,-2.12899,3570
BRA,-44.3358,-5.40547,7333
BRA,-46.1462,-5.81367,7776
BRA,-43.4649,-2.59828,4043
BRA,-45.2114,-3.65771,5088
BRA,-44.8558,-4.6625,6252
BRA,-45.7877,-5.14252,6878
BRA,-44.3508,-3.40202,4908
BRA,-47.5235,-4.45293,6031
BRA,-44.2153,-5.82282,7787
BRA,-45.6356,-5.36237,7326
BRA,-47.4064,-5.44363,7315
BRA,-46.09,-1.83888,3419
BRA,-45.1319,-4.56974,6251
BRA,-44.826,-3.94661,5465
BRA,-43.5333,-6.05023,8247
BRA,-45.3816,-4.98893,6667
BRA,-47.0293,-6.18539,8454
BRA,-44.4646,-4.51837,6255
BRA,-45.1451,-7.08111,9623
BRA,-45.4531,-4.62806,6249
BRA,-45.8507,-2.24078,3720
BRA,-43.1112,-3.62035,5101
BRA,-45.035,-3.09849,4538
BRA,-43.2018,-5.51359,7566
BRA,-44.5468,-3.6244,5092
BRA,-42.6131,-3.57443,5104
BRA,-44.3683,-6.37454,8699
BRA,-44.7787,-2.07094,3577
BRA,-45.2496,-3.48125,4903
BRA,-47.0673,-5.83067,7770
BRA,-43.9134,-3.46788,4911
BRA,-45.6953,-2.84227,4355
BRA,-45.1163,-4.13417,5652
BRA,-44.8933,-2.64433,4035
BRA,-43.9792,-6.4264,8702
BRA,-43.1011,-5.67365,7794
BRA,-43.7755,-6.17745,8474
BRA,-44.0745,-6.60296,8931
BRA,-42.5258,-2.72094,4208
BRA,-45.2398,-4.44485,6045
BRA,-44.6006,-4.56482,6254
BRA,-45.3493,-2.97272,4357
BRA,-45.1768,-3.27674,4719
BRA,-44.3369,-4.37459,6050
BRA,-45.342,-3.60985,5087
BRA,-45.0788,-2.52224,4034
BRA,-45.1759,-3.89315,5462
BRA,-44.2216,-3.72041,5280
BRA,-44.9432,-4.74626,6459
BRA,-47.3962,-6.34149,8681
BRA,-44.495,-5.2898,7107
BRA,-45.82,-2.38991,3873
BRA,-45.3595,-2.58799,4032
BRA,-44.0234,-3.40787,4910
BRA,-44.0973,-2.4254,3882
BRA,-46.6225,-7.35819,10082
BRA,-47.3888,-5.93067,7996
BRA,-45.3515,-7.13447,9621
BRA,-44.5638,-5.49671,7332
BRA,-45.29,-2.24426,3724
BRA,-45.69,-4.06873,5648
BRA,-45.7801,-2.51123,4030
BRA,-42.5688,-3.49308,4919
BRA,-44.3211,-3.14241,4543
BRA,-42.4064,-3.109,4554
BRA,-43.238,-2.50068,4044
BRA,-44.3653,-4.86613,6673
BRA,-43.5287,-3.33515,4913
BRA,-44.8289,-2.69781,4197
BRA,-42.4191,-3.37223,4920
BRA,-44.6509,-6.81471,9160
BRA,-44.3822,-5.58095,7559
BRA,-47.389,-5.12584,6868
BRA,-42.8668,-6.25159,8479
BRA,-47.0594,-6.45634,8683
BRA,-43.8163,-5.10821,6890
BRA,-43.7036,-6.4934,8703
BRA,-44.5809,-5.05493,6885
BRA,-44.2825,-2.53874,4039
